"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2016-08-27 11:14:45.493525","192.168.1.3","192.168.1.62","TCP","66","53833  >  3128 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","2016-08-27 11:14:45.496139","192.168.1.62","192.168.1.3","TCP","66","3128  >  53833 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"3","2016-08-27 11:14:45.496273","192.168.1.3","192.168.1.62","TCP","54","53833  >  3128 [ACK] Seq=1 Ack=1 Win=17408 Len=0"
"4","2016-08-27 11:14:45.498497","192.168.1.3","192.168.1.62","HTTP","294","CONNECT pagead2.googlesyndication.com:443 HTTP/1.0 "
"5","2016-08-27 11:14:45.500047","192.168.1.62","192.168.1.3","TCP","60","3128  >  53833 [ACK] Seq=1 Ack=241 Win=15744 Len=0"
"6","2016-08-27 11:14:45.506014","192.168.1.62","192.168.1.3","HTTP","93","HTTP/1.1 200 Connection established "
"7","2016-08-27 11:14:45.506099","192.168.1.3","192.168.1.62","TCP","54","53833  >  3128 [ACK] Seq=241 Ack=40 Win=17408 Len=0"
"8","2016-08-27 11:14:45.510321","192.168.1.3","192.168.1.62","TLSv1.2","284","Client Hello"
"9","2016-08-27 11:14:45.518012","192.168.1.62","192.168.1.3","TLSv1.2","201","Server Hello, Change Cipher Spec, Hello Request, Hello Request"
"10","2016-08-27 11:14:45.518061","192.168.1.3","192.168.1.62","TCP","54","53833  >  3128 [ACK] Seq=471 Ack=187 Win=17152 Len=0"
"11","2016-08-27 11:14:45.518650","192.168.1.3","192.168.1.62","TLSv1.2","105","Change Cipher Spec, Hello Request, Hello Request"
"12","2016-08-27 11:14:45.523410","192.168.1.3","192.168.1.62","TCP","1514","[TCP segment of a reassembled PDU]"
"13","2016-08-27 11:14:45.523418","192.168.1.3","192.168.1.62","TLSv1.2","417","Application Data"
"14","2016-08-27 11:14:45.526010","192.168.1.62","192.168.1.3","TCP","60","3128  >  53833 [ACK] Seq=187 Ack=1982 Win=19712 Len=0"
"15","2016-08-27 11:14:45.565129","192.168.1.62","192.168.1.3","TCP","60","3128  >  53833 [ACK] Seq=187 Ack=2345 Win=22656 Len=0"
"16","2016-08-27 11:14:46.048071","192.168.1.62","192.168.1.3","TLSv1.2","641","Application Data"
"17","2016-08-27 11:14:46.048138","192.168.1.3","192.168.1.62","TCP","54","53833  >  3128 [ACK] Seq=2345 Ack=774 Win=16640 Len=0"
"18","2016-08-27 11:14:46.773523","192.168.1.3","192.168.1.62","TCP","54","53833  >  3128 [FIN, ACK] Seq=2345 Ack=774 Win=16640 Len=0"
"19","2016-08-27 11:14:46.814499","192.168.1.62","192.168.1.3","TCP","60","3128  >  53833 [ACK] Seq=774 Ack=2346 Win=22656 Len=0"
"20","2016-08-27 11:14:46.839250","192.168.1.62","192.168.1.3","TCP","60","3128  >  53833 [FIN, ACK] Seq=774 Ack=2346 Win=22656 Len=0"
"21","2016-08-27 11:14:46.839307","192.168.1.3","192.168.1.62","TCP","54","[TCP Dup ACK 17#1] 53833  >  3128 [ACK] Seq=2346 Ack=774 Win=16640 Len=0"
"22","2016-08-27 11:14:46.839320","192.168.1.3","192.168.1.62","TCP","54","53833  >  3128 [ACK] Seq=2346 Ack=775 Win=16640 Len=0"
