"No.","Time","Source","Destination","Protocol","Length","Info"
"14","2016-08-27 20:15:06.428855","192.168.1.3","192.168.1.62","TCP","66","53833  >  3128 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"15","2016-08-27 20:15:06.428887","192.168.1.62","192.168.1.3","TCP","66","3128  >  53833 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"22","2016-08-27 20:15:06.430863","192.168.1.3","192.168.1.62","TCP","60","53833  >  3128 [ACK] Seq=1 Ack=1 Win=17408 Len=0"
"28","2016-08-27 20:15:06.433306","192.168.1.3","192.168.1.62","HTTP","294","CONNECT pagead2.googlesyndication.com:443 HTTP/1.0 "
"29","2016-08-27 20:15:06.433320","192.168.1.62","192.168.1.3","TCP","54","3128  >  53833 [ACK] Seq=1 Ack=241 Win=15744 Len=0"
"44","2016-08-27 20:15:06.436992","192.168.1.62","192.168.1.3","HTTP","93","HTTP/1.1 200 Connection established "
"50","2016-08-27 20:15:06.441079","192.168.1.3","192.168.1.62","TCP","60","53833  >  3128 [ACK] Seq=241 Ack=40 Win=17408 Len=0"
"60","2016-08-27 20:15:06.446053","192.168.1.3","192.168.1.62","TLSv1.2","284","Client Hello"
"74","2016-08-27 20:15:06.451389","192.168.1.62","192.168.1.3","TLSv1.2","201","Server Hello, Change Cipher Spec, Hello Request, Hello Request"
"80","2016-08-27 20:15:06.452926","192.168.1.3","192.168.1.62","TCP","60","53833  >  3128 [ACK] Seq=471 Ack=187 Win=17152 Len=0"
"81","2016-08-27 20:15:06.453398","192.168.1.3","192.168.1.62","TLSv1.2","105","Change Cipher Spec, Hello Request, Hello Request"
"87","2016-08-27 20:15:06.458437","192.168.1.3","192.168.1.62","TCP","1514","[TCP segment of a reassembled PDU]"
"88","2016-08-27 20:15:06.458458","192.168.1.62","192.168.1.3","TCP","54","3128  >  53833 [ACK] Seq=187 Ack=1982 Win=19712 Len=0"
"89","2016-08-27 20:15:06.458464","192.168.1.3","192.168.1.62","TLSv1.2","417","Application Data"
"106","2016-08-27 20:15:06.498132","192.168.1.62","192.168.1.3","TCP","54","3128  >  53833 [ACK] Seq=187 Ack=2345 Win=22656 Len=0"
"151","2016-08-27 20:15:06.977473","192.168.1.62","192.168.1.3","TLSv1.2","641","Application Data"
"160","2016-08-27 20:15:06.983382","192.168.1.3","192.168.1.62","TCP","60","53833  >  3128 [ACK] Seq=2345 Ack=774 Win=16640 Len=0"
"426","2016-08-27 20:15:07.708587","192.168.1.3","192.168.1.62","TCP","60","53833  >  3128 [FIN, ACK] Seq=2345 Ack=774 Win=16640 Len=0"
"455","2016-08-27 20:15:07.748129","192.168.1.62","192.168.1.3","TCP","54","3128  >  53833 [ACK] Seq=774 Ack=2346 Win=22656 Len=0"
"464","2016-08-27 20:15:07.772897","192.168.1.62","192.168.1.3","TCP","54","3128  >  53833 [FIN, ACK] Seq=774 Ack=2346 Win=22656 Len=0"
"472","2016-08-27 20:15:07.773642","192.168.1.3","192.168.1.62","TCP","60","[TCP Dup ACK 160#1] 53833  >  3128 [ACK] Seq=2346 Ack=774 Win=16640 Len=0"
"473","2016-08-27 20:15:07.773648","192.168.1.3","192.168.1.62","TCP","60","53833  >  3128 [ACK] Seq=2346 Ack=775 Win=16640 Len=0"
